customer_id,name,email,phone,city,country,created_at
73,Kathy Mcclure,erica94@example.org,517-406-3604x571,Perkinsmouth,Trinidad and Tobago,2025-10-06
74,April Odonnell,anthonysmith@example.com,761-881-2824x468,South Rileyview,Nepal,2024-05-23
75,Jennifer Walsh,sarahjohnson@example.com,602.761.9772,Nathanborough,Christmas Island,2023-12-13
76,Cody Stephens,julie04@example.org,(279)685-7360x0402,Tylermouth,Venezuela,2023-10-24
77,Hayden Gonzalez,peterclark@example.net,+1-933-674-3613,New Gloria,Hong Kong,2024-07-10
78,Mary Nguyen,washingtonelizabeth@example.net,001-636-706-4640x436,Leestad,Poland,2024-01-20
79,Christopher Howard,brittany34@example.net,(800)958-6467,Robinsonbury,Colombia,2023-12-17
80,John Cooper,markstephens@example.com,431.918.2808x29148,New Andrew,Afghanistan,2025-07-31
81,Justin Williams,ikeller@example.org,817-976-1651,Lawsonside,Liberia,2024-01-13
82,Whitney Hayes,paul57@example.org,521-912-6622,Kristinfort,New Zealand,2024-08-03
83,Michael Hinton,davidmanning@example.org,(766)441-1307,South Timothy,Niue,2025-10-09
84,William Robinson,iharrison@example.org,+1-622-219-6544x1440,North Jonberg,Spain,2024-09-28
85,Karen Clark,christinestone@example.com,001-708-722-2848,Richardsmouth,Sweden,2025-07-31
86,Keith Miller,evannewton@example.org,+1-253-733-8851x933,Cindymouth,Lesotho,2024-12-21
87,Steven Singh,mgonzales@example.org,001-213-414-8341x5018,Petersonburgh,Falkland Islands (Malvinas),2024-09-26
88,Sarah Taylor,umoore@example.net,629-685-8735x3532,Josephburgh,Israel,2024-05-25
89,Daniel Giles,jennifer49@example.com,001-736-429-9113x133,South Catherinestad,Luxembourg,2024-12-03
90,Richard Moreno,estradasteven@example.com,875-610-8997,South Jesusside,Brazil,2024-01-03
91,Antonio Lewis,macdonaldmichael@example.com,331-232-4934x52702,Lake Dianemouth,Bermuda,2024-02-26
92,Melissa Kim,victorsolis@example.org,001-511-767-7133,Emilytown,Switzerland,2024-05-13
93,Lauren Pace,gwendolynpearson@example.org,313-510-8987x732,Lake Kyle,Hungary,2024-03-09
94,Erica Cooper,wgraham@example.com,744-848-0849,Julieshire,Zambia,2024-02-25
95,Molly Erickson,jennifer74@example.org,932-788-7829x66559,Jenniferville,Fiji,2024-12-18
96,Carla Harris,vegajessica@example.com,7364573535,Claireland,Afghanistan,2025-05-10
97,Joel Pena,huffnicole@example.net,481.578.9499x8025,Lake Luisborough,Greenland,2025-01-15
98,Brittany Barnes,bthomas@example.net,+1-775-294-4566x9711,Lake Amber,Iceland,2024-03-05
99,Kristi Davis,randy52@example.org,(732)310-6030,Melissaland,Burkina Faso,2025-08-18
100,Peter Pacheco,amysmith@example.org,408-595-8084x87649,Lake Victorville,Japan,2024-07-22
